university,level,role,facts,url,hint
cambridge,pg,admissions,"deadline,documents,eligibility",https://www.postgraduate.study.cam.ac.uk/courses/directory/cscsmpacs/requirements,https://www.google.com/search?q=site:cam.ac.uk+application+deadline+required+documents
cambridge,pg,fees,tuition,https://www.undergraduate.study.cam.ac.uk/finance?ucam-ref=global-header,https://www.google.com/search?q=site:cam.ac.uk+tuition+fee+per+year+cost
cambridge,pg,english,english,https://www.postgraduate.study.cam.ac.uk/apply/before/english-language-requirements,https://www.google.com/search?q=site:cam.ac.uk+TOEFL+IELTS+minimum+score+english+language+requirement
cambridge,pg,program,"language,duration,english",https://www.cst.cam.ac.uk/admissions/acs,https://www.google.com/search?q=site:cam.ac.uk+programme+duration+language+of+instruction
cambridge,pg,about,city,https://www.cam.ac.uk/about-us,https://www.google.com/search?q=site:cam.ac.uk+campus+location+city
stanford,ug,admissions,"deadline,documents,eligibility",https://www.stanford.edu/admission/,https://www.google.com/search?q=site:stanford.edu+application+deadline+required+documents
stanford,ug,fees,tuition,,https://www.google.com/search?q=site:stanford.edu+tuition+fee+per+year+cost
stanford,ug,english,english,,https://www.google.com/search?q=site:stanford.edu+TOEFL+IELTS+minimum+score+english+language+requirement
stanford,ug,program,"language,duration",,https://www.google.com/search?q=site:stanford.edu+programme+duration+language+of+instruction
stanford,ug,about,"city,tuition",https://www.stanford.edu/about/,https://www.google.com/search?q=site:stanford.edu+campus+location+city
stanford,pg,admissions,"deadline,documents,eligibility",https://gradadmissions.stanford.edu/apply/dates-and-deadlines,https://www.google.com/search?q=site:stanford.edu+application+deadline+required+documents
stanford,pg,fees,"tuition,english",https://studentservices.stanford.edu/tuition-rates,https://www.google.com/search?q=site:stanford.edu+tuition+fee+per+year+cost
stanford,pg,english,english,https://www.cs.stanford.edu/admissions/masters-admissions,https://www.google.com/search?q=site:stanford.edu+TOEFL+IELTS+minimum+score+english+language+requirement
stanford,pg,program,"language,duration",https://www.cs.stanford.edu/masters-program-overview,https://www.google.com/search?q=site:stanford.edu+programme+duration+language+of+instruction
stanford,pg,about,"city,tuition",https://www.stanford.edu/about/,https://www.google.com/search?q=site:stanford.edu+campus+location+city
eth,ug,admissions,"deadline,documents,eligibility",https://ethz.ch/en/studies/bachelor.html,https://www.google.com/search?q=site:ethz.ch+application+deadline+required+documents
eth,ug,fees,tuition,https://ethz.ch/students/en/studies/financial/tuition-fees.html,https://www.google.com/search?q=site:ethz.ch+tuition+fee+per+year+cost
eth,ug,english,english,,https://www.google.com/search?q=site:ethz.ch+TOEFL+IELTS+minimum+score+english+language+requirement
eth,ug,program,"language,duration",https://ethz.ch/en/studies/bachelor/prospective-students/advice-on-selecting-study-programme.html,https://www.google.com/search?q=site:ethz.ch+programme+duration+language+of+instruction
eth,ug,about,city,https://ethz.ch/en/the-eth-zurich.html,https://www.google.com/search?q=site:ethz.ch+campus+location+city
eth,pg,admissions,"deadline,documents,eligibility",https://ethz.ch/en/studies/master/application.html,https://www.google.com/search?q=site:ethz.ch+application+deadline+required+documents
eth,pg,fees,tuition,https://ethz.ch/students/en/studies/financial/tuition-fees.html,https://www.google.com/search?q=site:ethz.ch+tuition+fee+per+year+cost
eth,pg,english,english,https://ethz.ch/en/studies/master/application/language-requirements.html,https://www.google.com/search?q=site:ethz.ch+TOEFL+IELTS+minimum+score+english+language+requirement
eth,pg,program,"language,duration",https://ethz.ch/en/studies/master/degree-programmes/engineering-sciences/computer-science.html,https://www.google.com/search?q=site:ethz.ch+programme+duration+language+of+instruction
eth,pg,about,city,https://ethz.ch/en/the-eth-zurich.html,https://www.google.com/search?q=site:ethz.ch+campus+location+city
imperial,ug,admissions,"deadline,documents,eligibility",,https://www.google.com/search?q=site:imperial.ac.uk+application+deadline+required+documents
imperial,ug,fees,tuition,https://www.imperial.ac.uk/study/fees-and-funding/,https://www.google.com/search?q=site:imperial.ac.uk+tuition+fee+per+year+cost
imperial,ug,english,english,https://www.imperial.ac.uk/study/apply/english-language/,https://www.google.com/search?q=site:imperial.ac.uk+TOEFL+IELTS+minimum+score+english+language+requirement
imperial,ug,program,"language,duration",https://www.imperial.ac.uk/natural-sciences/departments/mathematics/undergraduate/course-structure-and-content/,https://www.google.com/search?q=site:imperial.ac.uk+programme+duration+language+of+instruction
imperial,ug,about,city,https://www.imperial.ac.uk/about/,https://www.google.com/search?q=site:imperial.ac.uk+campus+location+city
imperial,pg,admissions,"deadline,documents,eligibility",https://www.imperial.ac.uk/study/apply/postgraduate-taught/entry-requirements/,https://www.google.com/search?q=site:imperial.ac.uk+application+deadline+required+documents
imperial,pg,fees,tuition,https://www.imperial.ac.uk/study/fees-and-funding/,https://www.google.com/search?q=site:imperial.ac.uk+tuition+fee+per+year+cost
imperial,pg,english,english,https://www.imperial.ac.uk/study/apply/english-language/,https://www.google.com/search?q=site:imperial.ac.uk+TOEFL+IELTS+minimum+score+english+language+requirement
imperial,pg,program,"language,duration,english,tuition",https://www.imperial.ac.uk/study/courses/postgraduate-taught/computing/,https://www.google.com/search?q=site:imperial.ac.uk+programme+duration+language+of+instruction
imperial,pg,about,city,https://www.imperial.ac.uk/about/,https://www.google.com/search?q=site:imperial.ac.uk+campus+location+city
yale,ug,admissions,"deadline,documents,eligibility",,https://www.google.com/search?q=site:yale.edu+application+deadline+required+documents
yale,ug,fees,tuition,,https://www.google.com/search?q=site:yale.edu+tuition+fee+per+year+cost
yale,ug,english,english,https://cls.yale.edu/programs/english-language-program/proficiency-pathways,https://www.google.com/search?q=site:yale.edu+TOEFL+IELTS+minimum+score+english+language+requirement
yale,ug,program,"language,duration",,https://www.google.com/search?q=site:yale.edu+programme+duration+language+of+instruction
yale,ug,about,city,,https://www.google.com/search?q=site:yale.edu+campus+location+city
yale,pg,admissions,"deadline,documents,eligibility",https://gsas.yale.edu/admissions/phdmasters-application-process/dates-deadlines,https://www.google.com/search?q=site:yale.edu+application+deadline+required+documents
yale,pg,fees,"tuition,english",https://gsas.yale.edu/admissions/phdmasters-application-process/application-fees-fee-waivers,https://www.google.com/search?q=site:yale.edu+tuition+fee+per+year+cost
yale,pg,english,english,https://cls.yale.edu/programs/english-language-program/proficiency-pathways,https://www.google.com/search?q=site:yale.edu+TOEFL+IELTS+minimum+score+english+language+requirement
yale,pg,program,"language,duration,english",https://engineering.yale.edu/academic-study/departments/computer-science/graduate-study/master-science-program,https://www.google.com/search?q=site:yale.edu+programme+duration+language+of+instruction
yale,pg,about,city,,https://www.google.com/search?q=site:yale.edu+campus+location+city
nus,ug,admissions,"deadline,documents,eligibility",,https://www.google.com/search?q=site:nus.edu.sg+application+deadline+required+documents
nus,ug,fees,tuition,,https://www.google.com/search?q=site:nus.edu.sg+tuition+fee+per+year+cost
nus,ug,english,english,,https://www.google.com/search?q=site:nus.edu.sg+TOEFL+IELTS+minimum+score+english+language+requirement
nus,ug,program,"language,duration",,https://www.google.com/search?q=site:nus.edu.sg+programme+duration+language+of+instruction
nus,ug,about,city,,https://www.google.com/search?q=site:nus.edu.sg+campus+location+city
nus,pg,admissions,"deadline,documents,eligibility,english",https://www.comp.nus.edu.sg/programmes/pg/mcs/admissions/,https://www.google.com/search?q=site:nus.edu.sg+application+deadline+required+documents
nus,pg,fees,tuition,https://www.comp.nus.edu.sg/programmes/pg/misc/scholarships/,https://www.google.com/search?q=site:nus.edu.sg+tuition+fee+per+year+cost
nus,pg,english,english,,https://www.google.com/search?q=site:nus.edu.sg+TOEFL+IELTS+minimum+score+english+language+requirement
nus,pg,program,"language,duration",https://www.comp.nus.edu.sg/programmes/pg/mcs/,https://www.google.com/search?q=site:nus.edu.sg+programme+duration+language+of+instruction
nus,pg,about,city,,https://www.google.com/search?q=site:nus.edu.sg+campus+location+city
delft,ug,admissions,"deadline,documents,eligibility",,https://www.google.com/search?q=site:tudelft.nl+application+deadline+required+documents
delft,ug,fees,tuition,,https://www.google.com/search?q=site:tudelft.nl+tuition+fee+per+year+cost
delft,ug,english,english,https://www.tudelft.nl/en/education/admission-and-application/bsc-international-diploma/1-admission-requirements/,https://www.google.com/search?q=site:tudelft.nl+TOEFL+IELTS+minimum+score+english+language+requirement
delft,ug,program,"language,duration",https://www.tudelft.nl/en/education/study-programme-orientation,https://www.google.com/search?q=site:tudelft.nl+programme+duration+language+of+instruction
delft,ug,about,city,https://www.tudelft.nl/en/about-tu-delft,https://www.google.com/search?q=site:tudelft.nl+campus+location+city
delft,pg,admissions,"deadline,documents,eligibility",https://www.tudelft.nl/en/education/programmes/masters/cs/msc-computer-science/admission-and-application,https://www.google.com/search?q=site:tudelft.nl+application+deadline+required+documents
delft,pg,fees,tuition,,https://www.google.com/search?q=site:tudelft.nl+tuition+fee+per+year+cost
delft,pg,english,english,,https://www.google.com/search?q=site:tudelft.nl+TOEFL+IELTS+minimum+score+english+language+requirement
delft,pg,program,"language,duration",https://www.tudelft.nl/en/education/programmes/masters/cs/msc-computer-science,https://www.google.com/search?q=site:tudelft.nl+programme+duration+language+of+instruction
delft,pg,about,city,https://www.tudelft.nl/en/about-tu-delft,https://www.google.com/search?q=site:tudelft.nl+campus+location+city
trinity,ug,admissions,"deadline,documents,eligibility",,https://www.google.com/search?q=site:tcd.ie+application+deadline+required+documents
trinity,ug,fees,tuition,,https://www.google.com/search?q=site:tcd.ie+tuition+fee+per+year+cost
trinity,ug,english,english,https://www.tcd.ie/study/english-language-requirements/,https://www.google.com/search?q=site:tcd.ie+TOEFL+IELTS+minimum+score+english+language+requirement
trinity,ug,program,"language,duration",,https://www.google.com/search?q=site:tcd.ie+programme+duration+language+of+instruction
trinity,ug,about,city,https://www.tcd.ie/about/,https://www.google.com/search?q=site:tcd.ie+campus+location+city
trinity,pg,admissions,"deadline,documents,eligibility,english",https://www.tcd.ie/scss/courses/postgraduate/computer-science/application-requirements/,https://www.google.com/search?q=site:tcd.ie+application+deadline+required+documents
trinity,pg,fees,"tuition,english",https://www.tcd.ie/scss/courses/postgraduate/phd-programme/finance-and-fees/,https://www.google.com/search?q=site:tcd.ie+tuition+fee+per+year+cost
trinity,pg,english,english,https://www.tcd.ie/study/english-language-requirements/,https://www.google.com/search?q=site:tcd.ie+TOEFL+IELTS+minimum+score+english+language+requirement
trinity,pg,program,"language,duration",https://www.tcd.ie/scss/courses/postgraduate/computer-science/,https://www.google.com/search?q=site:tcd.ie+programme+duration+language+of+instruction
trinity,pg,about,city,https://www.tcd.ie/about/,https://www.google.com/search?q=site:tcd.ie+campus+location+city
kaist,ug,admissions,"deadline,documents,eligibility",https://admission.kaist.ac.kr/intl-undergraduate/,https://www.google.com/search?q=site:kaist.ac.kr+application+deadline+required+documents
kaist,ug,fees,tuition,,https://www.google.com/search?q=site:kaist.ac.kr+tuition+fee+per+year+cost
kaist,ug,english,english,,https://www.google.com/search?q=site:kaist.ac.kr+TOEFL+IELTS+minimum+score+english+language+requirement
kaist,ug,program,"language,duration",,https://www.google.com/search?q=site:kaist.ac.kr+programme+duration+language+of+instruction
kaist,ug,about,city,https://www.kaist.ac.kr/en/,https://www.google.com/search?q=site:kaist.ac.kr+campus+location+city
kaist,pg,admissions,"deadline,documents,eligibility,english",https://admission.kaist.ac.kr/intl-graduate/Admission/YearlyTimelines,https://www.google.com/search?q=site:kaist.ac.kr+application+deadline+required+documents
kaist,pg,fees,tuition,,https://www.google.com/search?q=site:kaist.ac.kr+tuition+fee+per+year+cost
kaist,pg,english,english,https://admission.kaist.ac.kr/intl-graduate/Admission/Eligibility,https://www.google.com/search?q=site:kaist.ac.kr+TOEFL+IELTS+minimum+score+english+language+requirement
kaist,pg,program,"language,duration",,https://www.google.com/search?q=site:kaist.ac.kr+programme+duration+language+of+instruction
kaist,pg,about,city,https://www.kaist.ac.kr/en/,https://www.google.com/search?q=site:kaist.ac.kr+campus+location+city
bologna,ug,admissions,"deadline,documents,eligibility",,https://www.google.com/search?q=site:unibo.it+application+deadline+required+documents
bologna,ug,fees,tuition,https://www.unibo.it/en/study/enrolment-fees-and-other-procedures,https://www.google.com/search?q=site:unibo.it+tuition+fee+per+year+cost
bologna,ug,english,english,,https://www.google.com/search?q=site:unibo.it+TOEFL+IELTS+minimum+score+english+language+requirement
bologna,ug,program,"language,duration",,https://www.google.com/search?q=site:unibo.it+programme+duration+language+of+instruction
bologna,ug,about,city,https://www.unibo.it/en/university,https://www.google.com/search?q=site:unibo.it+campus+location+city
bologna,pg,admissions,"deadline,documents,eligibility",https://corsi.unibo.it/2cycle/artificial-intelligence/admission,https://www.google.com/search?q=site:unibo.it+application+deadline+required+documents
bologna,pg,fees,"tuition,english",https://www.unibo.it/en/study/enrolment-fees-and-other-procedures/degree-programmes/recognition-of-credits,https://www.google.com/search?q=site:unibo.it+tuition+fee+per+year+cost
bologna,pg,english,english,,https://www.google.com/search?q=site:unibo.it+TOEFL+IELTS+minimum+score+english+language+requirement
bologna,pg,program,"language,duration",https://corsi.unibo.it/2cycle/artificial-intelligence,https://www.google.com/search?q=site:unibo.it+programme+duration+language+of+instruction
bologna,pg,about,city,https://www.unibo.it/en/university,https://www.google.com/search?q=site:unibo.it+campus+location+city
kth,ug,admissions,"deadline,documents,eligibility",,https://www.google.com/search?q=site:kth.se+application+deadline+required+documents
kth,ug,fees,tuition,,https://www.google.com/search?q=site:kth.se+tuition+fee+per+year+cost
kth,ug,english,english,,https://www.google.com/search?q=site:kth.se+TOEFL+IELTS+minimum+score+english+language+requirement
kth,ug,program,"language,duration",,https://www.google.com/search?q=site:kth.se+programme+duration+language+of+instruction
kth,ug,about,city,,https://www.google.com/search?q=site:kth.se+campus+location+city
kth,pg,admissions,"deadline,documents,eligibility,tuition",https://www.kth.se/en/studies/master/admissions,https://www.google.com/search?q=site:kth.se+application+deadline+required+documents
kth,pg,fees,tuition,https://www.kth.se/en/studies/master/computer-science/fees-communication-systems-1.909945,https://www.google.com/search?q=site:kth.se+tuition+fee+per+year+cost
kth,pg,english,english,https://www.kth.se/en/studies/master/admissions/entry-requirements-for-master-s-studies-1.6915,https://www.google.com/search?q=site:kth.se+TOEFL+IELTS+minimum+score+english+language+requirement
kth,pg,program,"language,duration",,https://www.google.com/search?q=site:kth.se+programme+duration+language+of+instruction
kth,pg,about,city,,https://www.google.com/search?q=site:kth.se+campus+location+city
aalto,ug,admissions,"deadline,documents,eligibility",,https://www.google.com/search?q=site:aalto.fi+application+deadline+required+documents
aalto,ug,fees,tuition,https://www.aalto.fi/en/international-students/paying-the-tuition-fee,https://www.google.com/search?q=site:aalto.fi+tuition+fee+per+year+cost
aalto,ug,english,english,,https://www.google.com/search?q=site:aalto.fi+TOEFL+IELTS+minimum+score+english+language+requirement
aalto,ug,program,"language,duration",https://www.aalto.fi/en/sgt-programme/sgt-programme-structure,https://www.google.com/search?q=site:aalto.fi+programme+duration+language+of+instruction
aalto,ug,about,city,,https://www.google.com/search?q=site:aalto.fi+campus+location+city
aalto,pg,admissions,"deadline,documents,eligibility,english,tuition",https://www.aalto.fi/en/study-at-aalto/apply-to-masters-programmes,https://www.google.com/search?q=site:aalto.fi+application+deadline+required+documents
aalto,pg,fees,tuition,https://www.aalto.fi/en/admission-services/scholarships-and-tuition-fees,https://www.google.com/search?q=site:aalto.fi+tuition+fee+per+year+cost
aalto,pg,english,english,https://www.aalto.fi/en/admission-services/language-requirements-in-masters-admissions,https://www.google.com/search?q=site:aalto.fi+TOEFL+IELTS+minimum+score+english+language+requirement
aalto,pg,program,"language,duration,tuition",https://www.aalto.fi/en/study-options/computer-science-master-of-science-technology,https://www.google.com/search?q=site:aalto.fi+programme+duration+language+of+instruction
aalto,pg,about,city,,https://www.google.com/search?q=site:aalto.fi+campus+location+city
tum,ug,admissions,"deadline,documents,eligibility",,https://www.google.com/search?q=site:tum.de+application+deadline+required+documents
tum,ug,fees,tuition,,https://www.google.com/search?q=site:tum.de+tuition+fee+per+year+cost
tum,ug,english,english,https://www.tum.de/en/studies/application/application-info-portal/admission-requirements/language-certificates,https://www.google.com/search?q=site:tum.de+TOEFL+IELTS+minimum+score+english+language+requirement
tum,ug,program,"language,duration",,https://www.google.com/search?q=site:tum.de+programme+duration+language+of+instruction
tum,ug,about,city,,https://www.google.com/search?q=site:tum.de+campus+location+city
tum,pg,admissions,"deadline,documents,eligibility",https://www.tum.de/en/studies/application,https://www.google.com/search?q=site:tum.de+application+deadline+required+documents
tum,pg,fees,tuition,https://www.tum.de/en/studies/fees/tuition,https://www.google.com/search?q=site:tum.de+tuition+fee+per+year+cost
tum,pg,english,english,https://www.tum.de/en/studies/application/application-info-portal/admission-requirements/language-certificates,https://www.google.com/search?q=site:tum.de+TOEFL+IELTS+minimum+score+english+language+requirement
tum,pg,program,"language,duration",https://www.tum.de/en/studies/degree-programs/detail/informatics-master-of-science-msc,https://www.google.com/search?q=site:tum.de+programme+duration+language+of+instruction
tum,pg,about,city,,https://www.google.com/search?q=site:tum.de+campus+location+city
warsaw,ug,admissions,"deadline,documents,eligibility",https://en.uw.edu.pl/admissions-for-the-2026-2027-academic-year/,https://www.google.com/search?q=site:uw.edu.pl+application+deadline+required+documents
warsaw,ug,fees,tuition,,https://www.google.com/search?q=site:uw.edu.pl+tuition+fee+per+year+cost
warsaw,ug,english,english,,https://www.google.com/search?q=site:uw.edu.pl+TOEFL+IELTS+minimum+score+english+language+requirement
warsaw,ug,program,"language,duration",,https://www.google.com/search?q=site:uw.edu.pl+programme+duration+language+of+instruction
warsaw,ug,about,city,,https://www.google.com/search?q=site:uw.edu.pl+campus+location+city
warsaw,pg,admissions,"deadline,documents,eligibility",https://en.uw.edu.pl/admissions-for-the-2026-2027-academic-year/,https://www.google.com/search?q=site:uw.edu.pl+application+deadline+required+documents
warsaw,pg,fees,tuition,,https://www.google.com/search?q=site:uw.edu.pl+tuition+fee+per+year+cost
warsaw,pg,english,english,,https://www.google.com/search?q=site:uw.edu.pl+TOEFL+IELTS+minimum+score+english+language+requirement
warsaw,pg,program,"language,duration",,https://www.google.com/search?q=site:uw.edu.pl+programme+duration+language+of+instruction
warsaw,pg,about,city,,https://www.google.com/search?q=site:uw.edu.pl+campus+location+city
malaya,ug,admissions,"deadline,documents,eligibility",,https://www.google.com/search?q=site:um.edu.my+application+deadline+required+documents
malaya,ug,fees,tuition,,https://www.google.com/search?q=site:um.edu.my+tuition+fee+per+year+cost
malaya,ug,english,english,,https://www.google.com/search?q=site:um.edu.my+TOEFL+IELTS+minimum+score+english+language+requirement
malaya,ug,program,"language,duration",,https://www.google.com/search?q=site:um.edu.my+programme+duration+language+of+instruction
malaya,ug,about,city,,https://www.google.com/search?q=site:um.edu.my+campus+location+city
malaya,pg,admissions,"deadline,documents,eligibility",https://study.um.edu.my/,https://www.google.com/search?q=site:um.edu.my+application+deadline+required+documents
malaya,pg,fees,tuition,,https://www.google.com/search?q=site:um.edu.my+tuition+fee+per+year+cost
malaya,pg,english,english,,https://www.google.com/search?q=site:um.edu.my+TOEFL+IELTS+minimum+score+english+language+requirement
malaya,pg,program,"language,duration",,https://www.google.com/search?q=site:um.edu.my+programme+duration+language+of+instruction
malaya,pg,about,city,,https://www.google.com/search?q=site:um.edu.my+campus+location+city
mbzuai,ug,admissions,"deadline,documents,eligibility,english,tuition",https://mbzuai.ac.ae/study/undergraduate-admission-process/,https://www.google.com/search?q=site:mbzuai.ac.ae+application+deadline+required+documents
mbzuai,ug,fees,"tuition,english",https://mbzuai.ac.ae/study/ug-admission-process/,https://www.google.com/search?q=site:mbzuai.ac.ae+tuition+fee+per+year+cost
mbzuai,ug,english,english,,https://www.google.com/search?q=site:mbzuai.ac.ae+TOEFL+IELTS+minimum+score+english+language+requirement
mbzuai,ug,program,"language,duration,english,tuition",https://mbzuai.ac.ae/study/undergraduate-program/,https://www.google.com/search?q=site:mbzuai.ac.ae+programme+duration+language+of+instruction
mbzuai,ug,about,city,https://mbzuai.ac.ae/about/fast-facts/,https://www.google.com/search?q=site:mbzuai.ac.ae+campus+location+city
mbzuai,pg,admissions,"deadline,documents,eligibility,english,tuition",https://mbzuai.ac.ae/study/graduate-admission-process/,https://www.google.com/search?q=site:mbzuai.ac.ae+application+deadline+required+documents
mbzuai,pg,fees,tuition,,https://www.google.com/search?q=site:mbzuai.ac.ae+tuition+fee+per+year+cost
mbzuai,pg,english,english,,https://www.google.com/search?q=site:mbzuai.ac.ae+TOEFL+IELTS+minimum+score+english+language+requirement
mbzuai,pg,program,"language,duration",,https://www.google.com/search?q=site:mbzuai.ac.ae+programme+duration+language+of+instruction
mbzuai,pg,about,city,https://mbzuai.ac.ae/about/fast-facts/,https://www.google.com/search?q=site:mbzuai.ac.ae+campus+location+city
nazarbayev,ug,admissions,"deadline,documents,eligibility",https://nu.edu.kz/admissions/,https://www.google.com/search?q=site:nu.edu.kz+application+deadline+required+documents
nazarbayev,ug,fees,tuition,https://nu.edu.kz/admissions/fees-and-funding/,https://www.google.com/search?q=site:nu.edu.kz+tuition+fee+per+year+cost
nazarbayev,ug,english,"english,tuition",https://nu.edu.kz/admissions/how-to-apply/foundation-undergraduate/regular-admissions/,https://www.google.com/search?q=site:nu.edu.kz+TOEFL+IELTS+minimum+score+english+language+requirement
nazarbayev,ug,program,"language,duration",,https://www.google.com/search?q=site:nu.edu.kz+programme+duration+language+of+instruction
nazarbayev,ug,about,city,https://nu.edu.kz/academics/,https://www.google.com/search?q=site:nu.edu.kz+campus+location+city
nazarbayev,pg,admissions,"deadline,documents,eligibility",https://nu.edu.kz/sprogram/master-of-science-in-computer-science/,https://www.google.com/search?q=site:nu.edu.kz+application+deadline+required+documents
nazarbayev,pg,fees,tuition,https://nu.edu.kz/admissions/fees-and-funding/,https://www.google.com/search?q=site:nu.edu.kz+tuition+fee+per+year+cost
nazarbayev,pg,english,english,,https://www.google.com/search?q=site:nu.edu.kz+TOEFL+IELTS+minimum+score+english+language+requirement
nazarbayev,pg,program,"language,duration",https://seds.nu.edu.kz/msc_in_cs,https://www.google.com/search?q=site:nu.edu.kz+programme+duration+language+of+instruction
nazarbayev,pg,about,city,https://nu.edu.kz/academics/,https://www.google.com/search?q=site:nu.edu.kz+campus+location+city
innopolis,ug,admissions,"deadline,documents,eligibility",https://apply.innopolis.university/en/,https://www.google.com/search?q=site:innopolis.university+application+deadline+required+documents
innopolis,ug,fees,tuition,,https://www.google.com/search?q=site:innopolis.university+tuition+fee+per+year+cost
innopolis,ug,english,english,,https://www.google.com/search?q=site:innopolis.university+TOEFL+IELTS+minimum+score+english+language+requirement
innopolis,ug,program,"language,duration",,https://www.google.com/search?q=site:innopolis.university+programme+duration+language+of+instruction
innopolis,ug,about,city,https://innopolis.university/en/about/,https://www.google.com/search?q=site:innopolis.university+campus+location+city
innopolis,pg,admissions,"deadline,documents,eligibility",https://apply.innopolis.university/en/,https://www.google.com/search?q=site:innopolis.university+application+deadline+required+documents
innopolis,pg,fees,tuition,,https://www.google.com/search?q=site:innopolis.university+tuition+fee+per+year+cost
innopolis,pg,english,english,,https://www.google.com/search?q=site:innopolis.university+TOEFL+IELTS+minimum+score+english+language+requirement
innopolis,pg,program,"language,duration",,https://www.google.com/search?q=site:innopolis.university+programme+duration+language+of+instruction
innopolis,pg,about,city,https://innopolis.university/en/about/,https://www.google.com/search?q=site:innopolis.university+campus+location+city
indonesia,ug,admissions,"deadline,documents,eligibility",https://penerimaan.ui.ac.id/en/,https://www.google.com/search?q=site:ui.ac.id+application+deadline+required+documents
indonesia,ug,fees,tuition,,https://www.google.com/search?q=site:ui.ac.id+tuition+fee+per+year+cost
indonesia,ug,english,english,,https://www.google.com/search?q=site:ui.ac.id+TOEFL+IELTS+minimum+score+english+language+requirement
indonesia,ug,program,"language,duration",,https://www.google.com/search?q=site:ui.ac.id+programme+duration+language+of+instruction
indonesia,ug,about,city,,https://www.google.com/search?q=site:ui.ac.id+campus+location+city
indonesia,pg,admissions,"deadline,documents,eligibility",https://penerimaan.ui.ac.id/en/,https://www.google.com/search?q=site:ui.ac.id+application+deadline+required+documents
indonesia,pg,fees,tuition,,https://www.google.com/search?q=site:ui.ac.id+tuition+fee+per+year+cost
indonesia,pg,english,english,,https://www.google.com/search?q=site:ui.ac.id+TOEFL+IELTS+minimum+score+english+language+requirement
indonesia,pg,program,"language,duration,english",https://cs.ui.ac.id/en/magister-ilmu-komputer/,https://www.google.com/search?q=site:ui.ac.id+programme+duration+language+of+instruction
indonesia,pg,about,city,,https://www.google.com/search?q=site:ui.ac.id+campus+location+city
